Name,SRR1140763,SRR1140994,SRR1140995,SRR1142421,SRR1142422,SRR1142423
Smp_106130.1,535.0,642.0,2131.0,6681.0,1671.0,2122.0
Smp_106390.1,160.0,178.27,615.002,2104.39,698.006,848.015
Smp_106590.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_106750.1,7.0,9.0,31.0,372.0,32.0,92.0
Smp_106970.1,25.845,26.765,96.293,386.627,61.705,97.76
Smp_107200.1,35.553,69.219,116.64,443.603,136.005,143.411
Smp_107200.2,59.447,47.781,192.36,1190.397,218.995,389.589
Smp_107590.1,0.0,0.0,0.0,2.0,0.0,4.0
Smp_108390.1,83.613,162.437,609.49,1160.74,366.609,546.567
Smp_108610.1,2.0,0.0,9.002,7.0,13.0,10.0
Smp_109240.1,3.183,5.118,6.344,34.269,5.219,1.041
Smp_110280.1,0.0,0.0,0.0,0.0,49.812,0.0
Smp_110280.2,210.0,229.0,794.0,3030.0,604.188,875.0
Smp_111340.1,628.0,973.0,3879.0,3295.0,3650.0,3804.0
Smp_111980.1,263.522,547.845,1902.467,1409.867,1240.648,1518.681
Smp_112110.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_112450.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_112480.1,2.0,0.0,1.0,33.398,0.0,1.092
Smp_112930.1,10.0,3.0,38.0,103.0,18.0,17.0
Smp_113610.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_113620.1,159.0,248.0,854.0,1447.0,760.0,858.0
Smp_113630.1,110.0,148.0,668.0,1303.0,570.0,799.0
Smp_113740.1,34.0,69.0,145.0,900.0,138.0,203.0
Smp_114160.1,69.376,78.934,256.247,799.347,203.817,192.199
Smp_114430.1,7.0,28.0,84.0,248.0,45.0,73.0
Smp_114435.1,61.0,44.0,325.0,380.0,203.0,234.0
Smp_114565.1,121.0,168.0,520.0,1277.0,466.0,705.0
Smp_114660.1,73.0,84.0,323.0,4613.0,192.0,176.0
Smp_114870.1,59.676,122.546,302.197,1068.459,375.356,714.488
Smp_115290.1,78.0,145.0,395.0,1220.0,385.0,470.0
Smp_115340.1,27.0,25.0,81.0,267.0,106.0,79.0
Smp_115450.1,117.154,134.204,543.352,1493.52,331.705,493.244
Smp_116360.1,109.0,149.0,591.0,2071.0,401.0,641.0
Smp_117340.1,0.0,0.0,8.0,36.0,4.0,4.0
Smp_117390.1,63.447,85.035,423.125,282.871,289.111,342.716
Smp_118040.1,56.407,88.064,280.565,1681.775,192.709,369.032
Smp_118220.1,80.56,91.908,345.309,1105.484,235.148,274.54
Smp_118710.1,0.0,0.0,0.0,1.0,0.0,1.0
Smp_118750.1,33.268,35.391,193.717,390.621,101.196,111.206
Smp_118780.1,16.0,29.0,53.0,302.0,61.0,66.0
Smp_118830.1,379.0,478.0,1658.0,4377.0,1524.0,1742.0
Smp_119110.1,44.0,52.0,203.0,686.0,324.0,300.0
Smp_119310.1,550.0,958.0,2980.0,7696.0,3066.0,3784.0
Smp_119920.1,177.0,183.0,603.0,3132.0,494.0,656.0
Smp_119980.1,136.903,191.626,407.585,3011.741,574.963,685.005
Smp_120020.1,53.78,55.898,130.698,1098.256,205.632,320.558
Smp_120070.1,6.778,21.006,38.002,127.243,56.961,35.157
Smp_120080.1,454.0,908.0,2244.0,5628.0,2753.0,3637.0
Smp_120320.1,41.7,63.019,292.397,1020.977,307.823,407.37
Smp_120350.1,61.0,63.0,148.0,474.0,190.0,130.0
Smp_120360.1,271.0,244.0,1094.0,2011.0,902.0,1079.0
Smp_120380.1,38.733,80.514,201.098,191.648,236.5,299.924
Smp_120640.1,294.0,204.0,403.0,5810.0,595.0,971.0
Smp_120670.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_120700.1,337.0,518.0,1699.0,4459.0,1561.0,1866.0
Smp_120920.1,1648.0,1704.0,4518.0,20958.0,6071.0,6079.0
Smp_120960.1,0.0,0.834,0.0,27.867,0.0,0.0
Smp_121130.1,64.024,70.007,273.132,848.485,191.094,284.019
Smp_121140.1,79.0,90.0,364.0,848.0,370.0,486.0
Smp_121160.1,47.0,48.0,121.0,601.0,148.0,189.0
Smp_121190.1,1.0,1.0,2.0,37.0,20.0,16.0
Smp_121230.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_121320.1,9.0,28.0,101.0,173.0,89.0,120.0
Smp_121390.1,15.0,33.0,107.0,213.0,107.0,82.0
Smp_121420.1,443.0,605.0,1346.0,3961.0,1576.0,1850.0
Smp_121430.1,198.0,239.0,905.0,2544.0,635.0,907.0
Smp_121460.1,23.0,34.0,104.0,439.0,89.0,95.0
Smp_121580.1,19.0,14.0,87.0,263.0,74.0,87.0
Smp_121600.1,19.279,13.533,62.314,195.381,7.631,39.945
Smp_121600.2,0.0,27.425,104.686,142.385,79.927,81.633
Smp_121600.3,18.721,28.042,77.0,199.234,44.443,160.423
Smp_121610.1,102.0,122.0,447.0,1106.0,399.0,467.0
Smp_121640.1,66.0,99.0,282.0,765.0,269.0,310.0
Smp_121660.1,60.507,61.154,210.05,1347.662,160.237,241.474
Smp_121780.1,48.0,78.0,207.0,768.0,313.0,292.0
Smp_121790.1,110.0,251.944,741.586,1802.022,669.833,774.901
Smp_121800.1,68.0,82.759,290.0,709.978,278.892,371.771
Smp_121800.2,0.0,8.241,0.0,46.022,11.108,33.229
Smp_121810.1,31.0,40.0,131.0,579.0,161.0,129.0
Smp_121920.1,11.195,2.683,36.308,312.427,19.867,42.114
Smp_121920.2,31.553,47.379,112.007,699.242,156.196,155.892
Smp_121930.1,21.0,6.0,49.54,132.094,16.086,60.85
Smp_121930.2,0.0,0.0,9.46,65.926,8.914,33.15
Smp_121940.1,16.0,17.0,57.0,842.013,70.0,66.017
Smp_121950.1,132.0,397.0,2493.0,1724.0,2687.0,4254.0
Smp_121990.1,1685.355,2977.245,9113.5,20216.723,7501.826,15205.568
Smp_121990.2,256.645,326.755,147.5,6355.277,508.174,766.432
Smp_122020.1,1.0,2.0,9.001,60.141,5.0,8.0
Smp_122030.1,607.0,1305.0,1858.0,6577.0,2364.0,3268.0
Smp_122050.1,33.0,43.0,119.0,1173.0,124.0,200.0
Smp_122170.1,0.0,0.0,0.0,1.0,1.0,0.0
Smp_122190.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_122280.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_122340.1,57.0,56.0,203.0,956.0,122.0,336.0
Smp_122370.1,326.862,221.119,676.971,5438.169,714.873,1272.919
Smp_122490.1,23.0,17.0,64.0,242.0,37.0,50.0
Smp_122500.1,51.522,68.136,139.769,1530.118,174.248,189.324
Smp_122630.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_122680.1,41.0,40.0,122.0,408.0,144.0,122.0
Smp_122730.1,107.096,141.857,481.35,1056.366,406.942,502.242
Smp_122780.1,61.0,42.0,175.0,677.0,173.0,148.0
Smp_122790.1,169.385,200.153,925.538,1850.18,831.027,919.766
Smp_122790.2,22.615,79.847,49.462,227.82,24.973,29.234
