Name,SRR1140763,SRR1140994,SRR1140995,SRR1142421,SRR1142422,SRR1142423
Smp_334010.1,22.687819,14.327469,8.830623,31.390563,16.369993,11.169533
Smp_334020.1,16.643143,11.307403,9.401933,16.230701,15.682611,9.187661
Smp_334030.1,37.377964,21.093944,18.320562,33.089157,21.959507,22.879122
Smp_334030.2,4.720472,3.16283,4.575943,14.466344,6.083674,7.091995
Smp_334040.1,0.0,0.0,0.0,0.008692,0.0,0.0
Smp_334050.1,0.824409,0.366077,0.376105,0.937596,0.19428,0.447731
Smp_334060.1,14.407538,5.90426,7.422748,17.4876,10.663901,6.906166
Smp_334070.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_334080.1,342.987638,268.89791,288.138962,265.890987,274.01216,247.827588
Smp_334100.1,11.646471,3.836599,4.135868,16.920156,3.780578,5.422202
Smp_334110.1,11.239973,4.600722,3.99748,11.415832,5.308995,4.317961
Smp_334120.1,2.17111,0.734182,2.179069,7.885153,1.198878,1.655966
Smp_334130.1,1.316322,0.07144,0.209706,0.656824,0.291645,0.223085
Smp_334140.1,17.377546,8.759007,14.711084,19.339519,16.809688,16.43681
Smp_334150.1,0.554156,0.324815,0.14302,1.093222,0.154701,0.295836
Smp_334160.1,1.157004,0.188381,0.239622,0.773205,0.61523,0.343147
Smp_334160.2,0.0,0.0,0.0,0.0,0.0,0.0
Smp_334180.1,7.559413,5.563915,5.493613,9.915407,6.504441,5.212303
Smp_334190.1,0.0,0.0,0.0,0.0,0.0,0.058943
Smp_334200.1,23.744736,13.297915,13.133894,25.328898,18.877972,15.217168
Smp_334210.1,1.32208,0.336925,0.271979,1.636437,0.974279,0.569894
Smp_334220.1,2.925736,1.111509,1.46823,2.163773,1.361276,1.022673
Smp_334230.1,15.700798,10.696373,8.590081,9.973455,8.321349,6.564737
Smp_334240.1,1.541712,0.0,0.0,0.0,0.0,0.0
Smp_334250.1,1.037559,0.675731,0.330591,3.975388,1.149408,0.410296
Smp_334260.1,89.668608,56.824034,46.763314,65.857558,70.615476,58.700857
Smp_334280.1,30.489497,18.683542,14.04214,30.644875,23.618841,15.760067
Smp_334290.1,7.659059,4.609555,3.216047,13.062917,4.772651,3.963615
Smp_334300.1,37.193252,35.752011,28.885998,36.384746,41.836607,29.577305
Smp_334310.1,0.0,0.96309,1.383755,0.963566,0.0,1.990194
Smp_334310.2,3.172187,0.0,0.0,3.450761,1.285912,0.0
Smp_334320.1,1.828225,1.786003,4.063053,1.172899,3.827835,3.718081
Smp_334330.1,6.290881,4.438486,3.396389,4.602692,5.389394,4.97538
Smp_334340.1,14.569072,4.269782,6.433891,23.164482,7.630818,6.394986
Smp_334350.1,0.0,0.0,0.0,0.0,0.0,0.0
Smp_334360.1,0.215043,0.0,0.030221,0.129135,0.02118,0.0
Smp_334370.1,15.395277,8.790828,7.617042,19.432009,12.928096,11.76864
Smp_334390.1,1.861492,0.849414,1.383914,1.113713,0.948778,0.948619
Smp_334400.1,0.440033,0.2371,0.628434,0.57128,0.0,0.170453
Smp_334410.1,5.583498,1.363638,0.667139,1.268659,3.340119,2.602238
Smp_334415.1,0.0,0.0,0.0,0.033845,0.168314,0.053644
Smp_334420.1,0.0,0.0,1.509817,6.718639,2.841976,1.31279
Smp_334420.2,6.637915,4.159942,1.99393,5.837684,2.728045,2.766153
Smp_334430.1,4.206336,0.0,0.421493,5.607096,2.102399,2.108091
Smp_334430.2,7.611723,0.522156,1.160353,5.719132,0.0,0.7095
Smp_334430.3,0.0,6.552212,4.079138,4.413631,5.596942,4.538505
Smp_334440.1,1.619515,1.186585,0.0,0.498394,0.605509,1.05499
Smp_334440.2,0.0,0.0,0.252811,0.298116,0.0,0.0
Smp_334450.1,0.402316,0.0,0.057684,0.387159,0.0,0.0
Smp_334460.1,1.672174,0.371263,0.5667,0.792397,0.757814,0.502379
Smp_334470.1,9.175002,3.23503,2.700735,8.834216,5.028188,3.066118
