gene,degree,weighted_degree,mean_log_expression,variance_log_expression,hub_status
Smp_348820.2,4,3.9420218323903953,4.166746302689804,7.764135100488481,non_hub
Smp_326490.1,4,3.9411842019116925,2.8201354161660275,1.1495273357999347,non_hub
Smp_167840.1,4,3.937583630390864,0.9918356021851878,1.7114931528713333,non_hub
Smp_055870.2,4,3.9363429420402722,3.9450848553732456,0.7363535602432628,non_hub
Smp_331290.1,4,3.9331795305125317,1.279860017445155,1.4810552532206547,non_hub
Smp_000500.1,4,3.932522333264228,4.23632168363265,1.3230595867065378,non_hub
Smp_314280.1,4,3.9311850140302376,1.7451571364758005,0.8349114284339425,non_hub
Smp_133590.1,4,3.9286819010888197,2.5778814887431967,1.2231409135901241,non_hub
Smp_154900.1,4,3.9285596195159282,1.103304828240736,0.7961872603516312,non_hub
Smp_084180.1,4,3.922048341981096,2.036458694357409,5.7536074082622575,non_hub
Smp_347590.1,4,3.917041840905569,2.528702155684285,0.9952906614317542,non_hub
Smp_086330.2,4,3.9162192479303064,1.827850117459881,0.6977314464696794,non_hub
Smp_129410.1,4,3.913033851091442,1.3320907257998094,0.8399148330688444,non_hub
Smp_181730.1,3,2.9839300390956236,3.7234362104953993,6.841724968523863,non_hub
Smp_121990.2,3,2.983088106088595,2.6703542991563745,0.9537781861731506,non_hub
Smp_313630.1,3,2.978530442937749,2.2661972192212034,1.0021448376291389,non_hub
Smp_323240.1,3,2.978446568506321,2.9686999934525193,1.2400563875157595,non_hub
Smp_331440.1,3,2.974226248237298,1.4106011957287217,1.1991574237666285,non_hub
Smp_196880.2,3,2.9736728942822124,1.2475145948499935,2.0783630581912393,non_hub
Smp_022320.2,3,2.973622191660963,0.8230583107126596,1.0546708000059033,non_hub
Smp_246970.1,3,2.970943037178937,1.1660931370407357,1.171415910048901,non_hub
Smp_203090.1,3,2.969694678379078,0.6437219845810968,0.7213707312237806,non_hub
Smp_307630.1,3,2.969459629900038,1.2081402398609582,2.3103484979712765,non_hub
Smp_167630.2,3,2.966931796636724,1.3351118379397466,0.9115918246143117,non_hub
Smp_312620.1,3,2.9668235300079506,1.1056956593752405,1.1973285962383942,non_hub
Smp_141010.2,3,2.9664962995754802,0.6291734173777038,0.9198859297331835,non_hub
Smp_211020.2,3,2.9655733095949026,2.2536242636524184,0.9207078153505833,non_hub
Smp_181080.2,3,2.964106002416752,1.0838439075021082,1.0631142855447109,non_hub
Smp_317170.1,3,2.9635057730802363,2.364167753653915,3.1009599861895416,non_hub
Smp_032670.1,3,2.9628886879179546,0.9264215728151068,1.0236258168139434,non_hub
Smp_341710.1,3,2.959221191404872,6.2385136072425125,0.7061215453541562,non_hub
Smp_163600.2,3,2.9590537502094154,1.6554323137767732,1.2361672919814426,non_hub
Smp_085540.2,3,2.958208018134845,2.290796090269577,3.2998538936918185,non_hub
Smp_205300.2,3,2.9575279997730166,2.910622593865093,0.7959474464841169,non_hub
Smp_337670.1,3,2.957225543054814,4.11728748524554,0.7864568288322928,non_hub
Smp_091190.2,3,2.9570152793490045,0.9491800051909515,1.3862753587887522,non_hub
Smp_328620.2,3,2.9568322665069324,0.5842319674132046,0.8670852944364337,non_hub
Smp_307220.3,3,2.9562790028472614,1.2203358830306323,1.0887469759639927,non_hub
Smp_323420.1,3,2.9561084473019736,0.9846581527434725,0.8463064646098232,non_hub
Smp_343390.1,3,2.9517660434344952,0.802471844530189,1.0073053886144907,non_hub
Smp_018240.2,3,2.9494719680801573,4.048848469208856,0.7113866741288254,non_hub
Smp_335380.1,3,2.9480232106481066,1.1474090943394775,1.101146027239278,non_hub
Smp_122790.2,3,2.9477758496188504,2.059921082965108,1.4722776704329477,non_hub
Smp_322980.1,3,2.9446388816987072,2.2855334002339887,0.8314005384440071,non_hub
Smp_328440.1,3,2.944608990566995,0.7522975586862775,1.1750907488705107,non_hub
Smp_331600.1,3,2.943972478462209,1.2705630227199212,0.8374317536010984,non_hub
Smp_331380.1,3,2.9437125026969837,2.4249838095970477,0.8412220316090323,non_hub
Smp_046060.2,3,2.9394099206836084,3.433590134821926,0.7915133866920531,non_hub
Smp_332600.2,3,2.9383944332520517,1.1611025239821269,1.0392605662069117,non_hub
Smp_048050.1,3,2.9349237855912236,1.6488046245211363,1.4580829094817058,non_hub
Smp_196880.1,3,2.930257495589186,1.623204897553845,2.17506431166777,non_hub
Smp_318260.2,3,2.928759183415362,0.9896810530233189,0.8801454016522966,non_hub
Smp_305460.1,3,2.9210623814124266,1.7297144062711058,1.695916890408929,non_hub
Smp_023940.1,2,1.991560813430543,0.9385116130826122,2.2591167161700967,non_hub
Smp_310980.1,2,1.986293293314973,0.625338478650778,1.0796695612535836,non_hub
Smp_068920.2,2,1.985574245668302,8.406703711680583,1.152721835871749,non_hub
Smp_347540.2,2,1.9849481729321985,0.4904564920166311,0.7197940299901896,non_hub
Smp_130520.1,2,1.9837036655966596,2.521567599629824,0.9314042953419891,non_hub
Smp_246050.3,2,1.982362894537789,1.1685174432337038,0.9772260461672261,non_hub
Smp_340570.1,2,1.9820765692563564,3.951389630527036,0.6989610892377168,non_hub
Smp_007630.2,2,1.9772950356613495,4.458716659756698,0.8886756887120563,non_hub
Smp_179390.1,2,1.9734170284196706,5.727835011110378,0.7775989475581406,non_hub
Smp_349480.1,2,1.9726302885779543,1.9611345179895747,1.0721504301717788,non_hub
Smp_316910.1,2,1.972574957309519,0.8338502132757453,0.9284969914440505,non_hub
Smp_323250.1,2,1.971835484903651,6.126212035313886,2.1618705924849007,non_hub
Smp_047870.2,2,1.9697347087711372,1.5591379851352491,2.0372528902376934,non_hub
Smp_326770.2,2,1.9691235293558704,1.7320870401460629,2.7918098246903313,non_hub
Smp_345970.1,2,1.9686867826020973,1.9824735353913474,0.7452564060451858,non_hub
Smp_309740.1,2,1.968333331237286,2.882236483402253,1.1425769762674316,non_hub
Smp_049230.1,2,1.9635276338984549,4.471180102995437,1.39684439764177,non_hub
Smp_058140.1,2,1.96331338575889,1.9436637982742435,0.8163579672114246,non_hub
Smp_056460.1,2,1.9624329067471846,0.6720006080591996,0.8217703743483398,non_hub
Smp_175240.1,2,1.9568478898362767,4.456603307586166,0.9708690290632515,non_hub
Smp_058140.3,2,1.953568316321682,1.646525871104413,0.7896545292161975,non_hub
Smp_349140.1,2,1.9528323122526303,3.434206647928712,1.2309659827103652,non_hub
Smp_046060.1,2,1.9513206743144766,3.6322045392379065,1.477677994467787,non_hub
Smp_175880.1,2,1.9496797409047661,1.8465795754158592,1.805503992520987,non_hub
Smp_169220.1,2,1.9487186139317503,1.7454793617265152,0.7207739629457834,non_hub
Smp_324700.1,2,1.94857736926727,2.3978309465593965,1.2709653660312854,non_hub
Smp_346380.2,1,0.998716877746149,2.518613096978831,1.3422014272361764,non_hub
Smp_051670.1,1,0.998716877746149,0.9699298010466918,0.8935241592044928,non_hub
Smp_320100.1,1,0.9973480382579543,0.9746569761367138,0.9928608678277513,non_hub
Smp_335785.1,1,0.9958063610328264,5.672785672220916,1.0864032917473323,non_hub
Smp_193680.1,1,0.9958063610328264,3.152905180664644,0.7253864083868268,non_hub
Smp_085830.1,1,0.9922990886416028,1.6622734700746378,1.724491368810761,non_hub
Smp_200850.1,1,0.9873137528935229,2.0219271797701612,2.268016121719525,non_hub
Smp_247580.1,1,0.9854679823782566,2.0812671280634287,3.323553566475528,non_hub
Smp_140260.1,1,0.9852672883725689,0.7641686072398407,0.7924825226657785,non_hub
Smp_137840.2,1,0.9807604040976765,2.123186259083803,0.8714236795250937,non_hub
Smp_348240.1,1,0.9793258332616319,0.9747664064606253,0.842112522309925,non_hub
Smp_335670.1,1,0.9793258332616319,2.486187100012594,0.8402590963931175,non_hub
Smp_319970.1,1,0.9777669993243636,0.9060917039888262,1.7159974942354193,non_hub
Smp_245600.2,1,0.9777669993243636,0.4920882457650788,0.7531085605748866,non_hub
Smp_346960.1,1,0.9760689901617162,3.375008159169228,0.7834355780145851,non_hub
Smp_213510.1,1,0.9741588466811546,1.7437942380632432,2.098198389340714,non_hub
Smp_179970.1,1,0.9701500662485247,3.113658091689964,0.8489172833557399,non_hub
