source,target,correlation,abs_correlation,interaction,relation,edge_width
Smp_182600.1,Smp_152580.1,0.990813461991939,0.990813461991939,coexpressao_positiva,positiva,0.990813461991939
Smp_182600.1,Smp_212300.2,0.9999844878248959,0.9999844878248959,coexpressao_positiva,positiva,0.9999844878248959
Smp_182600.1,Smp_214020.2,0.9995342186128918,0.9995342186128918,coexpressao_positiva,positiva,0.9995342186128918
Smp_200710.1,Smp_317180.1,0.9967087168030806,0.9967087168030806,coexpressao_positiva,positiva,0.9967087168030806
Smp_200710.1,Smp_319120.2,0.9783839980621543,0.9783839980621543,coexpressao_positiva,positiva,0.9783839980621543
Smp_200710.1,Smp_133590.2,0.9871310038798717,0.9871310038798717,coexpressao_positiva,positiva,0.9871310038798717
Smp_200710.1,Smp_340840.1,0.999255980235881,0.999255980235881,coexpressao_positiva,positiva,0.999255980235881
Smp_200710.1,Smp_332600.3,0.9796134719271188,0.9796134719271188,coexpressao_positiva,positiva,0.9796134719271188
Smp_200710.1,Smp_053550.1,0.9744636428070822,0.9744636428070822,coexpressao_positiva,positiva,0.9744636428070822
Smp_200710.1,Smp_071590.1,0.9990367062320396,0.9990367062320396,coexpressao_positiva,positiva,0.9990367062320396
Smp_200710.1,Smp_244440.1,0.9729625925339453,0.9729625925339453,coexpressao_positiva,positiva,0.9729625925339453
Smp_326650.1,Smp_319450.1,0.9801174652033188,0.9801174652033188,coexpressao_positiva,positiva,0.9801174652033188
Smp_326650.1,Smp_345970.2,0.9814484989797977,0.9814484989797977,coexpressao_positiva,positiva,0.9814484989797977
Smp_326650.1,Smp_331190.1,0.9760707549170466,0.9760707549170466,coexpressao_positiva,positiva,0.9760707549170466
Smp_326650.1,Smp_055090.3,0.9828117756689715,0.9828117756689715,coexpressao_positiva,positiva,0.9828117756689715
Smp_326650.1,Smp_088420.1,0.9824273355602353,0.9824273355602353,coexpressao_positiva,positiva,0.9824273355602353
Smp_326650.1,Smp_146150.1,0.9935110390223054,0.9935110390223054,coexpressao_positiva,positiva,0.9935110390223054
Smp_326650.1,Smp_046060.2,0.971726076423655,0.971726076423655,coexpressao_positiva,positiva,0.971726076423655
Smp_322700.1,Smp_152630.1,0.9970568394263677,0.9970568394263677,coexpressao_positiva,positiva,0.9970568394263677
Smp_322700.1,Smp_340430.1,0.9883996953695622,0.9883996953695622,coexpressao_positiva,positiva,0.9883996953695622
Smp_322700.1,Smp_047870.1,0.9968479778232762,0.9968479778232762,coexpressao_positiva,positiva,0.9968479778232762
Smp_322700.1,Smp_348840.2,0.993334792830882,0.993334792830882,coexpressao_positiva,positiva,0.993334792830882
Smp_322700.1,Smp_246790.1,0.9962127179334849,0.9962127179334849,coexpressao_positiva,positiva,0.9962127179334849
Smp_322700.1,Smp_022320.3,0.9865413545851117,0.9865413545851117,coexpressao_positiva,positiva,0.9865413545851117
Smp_322700.1,Smp_332780.1,0.9836213602327268,0.9836213602327268,coexpressao_positiva,positiva,0.9836213602327268
Smp_322700.1,Smp_345290.1,0.9892451316329008,0.9892451316329008,coexpressao_positiva,positiva,0.9892451316329008
Smp_322700.1,Smp_332910.2,0.9803856597993167,0.9803856597993167,coexpressao_positiva,positiva,0.9803856597993167
Smp_322700.1,Smp_105180.2,0.9826936307943926,0.9826936307943926,coexpressao_positiva,positiva,0.9826936307943926
Smp_322700.1,Smp_302040.3,0.9834824058633078,0.9834824058633078,coexpressao_positiva,positiva,0.9834824058633078
Smp_322700.1,Smp_345970.2,0.9731608147244852,0.9731608147244852,coexpressao_positiva,positiva,0.9731608147244852
Smp_322700.1,Smp_165350.1,0.9832102193109172,0.9832102193109172,coexpressao_positiva,positiva,0.9832102193109172
Smp_322700.1,Smp_312610.1,0.9867598414447745,0.9867598414447745,coexpressao_positiva,positiva,0.9867598414447745
Smp_322700.1,Smp_133860.1,0.9845530201203451,0.9845530201203451,coexpressao_positiva,positiva,0.9845530201203451
Smp_322700.1,Smp_125250.1,0.970493779031698,0.970493779031698,coexpressao_positiva,positiva,0.970493779031698
Smp_322700.1,Smp_139080.2,0.9967471155216475,0.9967471155216475,coexpressao_positiva,positiva,0.9967471155216475
Smp_322700.1,Smp_341200.2,0.9996521923145286,0.9996521923145286,coexpressao_positiva,positiva,0.9996521923145286
Smp_322700.1,Smp_336310.2,0.9946076468352781,0.9946076468352781,coexpressao_positiva,positiva,0.9946076468352781
Smp_322700.1,Smp_320400.1,0.9955542829264986,0.9955542829264986,coexpressao_positiva,positiva,0.9955542829264986
Smp_322700.1,Smp_012350.1,0.9988710496555717,0.9988710496555717,coexpressao_positiva,positiva,0.9988710496555717
Smp_322700.1,Smp_210520.2,0.9893280317698095,0.9893280317698095,coexpressao_positiva,positiva,0.9893280317698095
Smp_322700.1,Smp_194370.1,0.9727209058972646,0.9727209058972646,coexpressao_positiva,positiva,0.9727209058972646
Smp_322700.1,Smp_331170.2,0.9876313741905685,0.9876313741905685,coexpressao_positiva,positiva,0.9876313741905685
Smp_322700.1,Smp_149380.2,0.9906270953281807,0.9906270953281807,coexpressao_positiva,positiva,0.9906270953281807
