glay,degree,hub_status,mean_log_expression,gene,selected,shared name,variance_log_expression,weighted_degree,rede,gene_busca,motivo_prioridade
8,4,non_hub,0.9920962010014256,Smp_335370.1,False,Smp_335370.1,1.0591475171574878,3.961147565242787,positiva,Smp_335370,top5_por_glay
8,4,non_hub,0.8370911428943302,Smp_170770.2,False,Smp_170770.2,0.9371279004314724,3.948399304517087,positiva,Smp_170770,top5_por_glay
8,3,non_hub,1.2475145948499935,Smp_196880.2,False,Smp_196880.2,2.07836305819124,2.9736728942822124,positiva,Smp_196880,top5_por_glay
8,3,non_hub,2.910622593865093,Smp_205300.2,False,Smp_205300.2,0.7959474464841169,2.9575279997730166,positiva,Smp_205300,top5_por_glay
9,1,non_hub,3.152905180664644,Smp_193680.1,False,Smp_193680.1,0.7253864083868268,0.9958063610328264,positiva,Smp_193680,top5_por_glay
9,1,non_hub,5.672785672220916,Smp_335785.1,False,Smp_335785.1,1.0864032917473323,0.9958063610328264,positiva,Smp_335785,top5_por_glay
10,9,non_hub,3.838091938380644,Smp_019690.2,False,Smp_019690.2,1.0998488214958655,8.893281539694613,positiva,Smp_019690,top5_por_glay
10,9,non_hub,2.1344931955961344,Smp_043500.2,False,Smp_043500.2,1.0161764417515895,8.891980409123592,positiva,Smp_043500,top5_por_glay
10,9,non_hub,1.1362429633033138,Smp_082410.1,False,Smp_082410.1,0.923066820000324,8.885711303757184,positiva,Smp_082410,top5_por_glay
10,9,non_hub,0.7700213655117396,Smp_327460.1,False,Smp_327460.1,0.8382104428249072,8.855107583869207,positiva,Smp_327460,top5_por_glay
10,9,non_hub,1.2741724089196789,Smp_347490.1,False,Smp_347490.1,1.2073707209115143,8.839627269145215,positiva,Smp_347490,top5_por_glay
11,8,non_hub,3.2348830304459844,Smp_088420.1,False,Smp_088420.1,1.0504426288302318,7.867441303272841,positiva,Smp_088420,top5_por_glay
11,7,non_hub,1.4016436914182215,Smp_146150.1,False,Smp_146150.1,1.009630678679429,6.901141915801035,positiva,Smp_146150,top5_por_glay
11,7,non_hub,1.4584821776884966,Smp_055090.3,False,Smp_055090.3,1.2176139002418898,6.885948485973763,positiva,Smp_055090,top5_por_glay
11,7,non_hub,3.001926237339755,Smp_326650.1,False,Smp_326650.1,4.799645802750767,6.86811294577533,positiva,Smp_326650,top5_por_glay
11,5,non_hub,3.29152087554658,Smp_331190.1,False,Smp_331190.1,1.4080918078972229,4.899812338428333,positiva,Smp_331190,top5_por_glay
12,12,non_hub,14.426452228493808,Smp_323440.1,False,Smp_323440.1,1.8986820880545328,11.885399193449992,positiva,Smp_323440,top5_por_glay
12,12,non_hub,6.954015399767719,Smp_323270.2,False,Smp_323270.2,1.5132516300467274,11.872726941057582,positiva,Smp_323270,top5_por_glay
12,11,non_hub,9.7259890318946,Smp_323320.1,False,Smp_323320.1,2.002195296334916,10.909782788848675,positiva,Smp_323320,top5_por_glay
12,11,non_hub,10.1624116599177,Smp_323300.1,False,Smp_323300.1,1.8395831565028828,10.862757892312471,positiva,Smp_323300,top5_por_glay
