"Gene","Target","OthersMean","Log2FC"
"Smp_005190.1",1.92846811026525,0.486448751986684,1.44201935827856
"Smp_005190.2",4.54532728965572,4.22615181003096,0.319175479624764
"Smp_005190.3",2.80790984071404,1.67081597744952,1.13709386326451
"Smp_005210.1",4.78321503247483,4.1340581719801,0.649156860494726
"Smp_005230.1",6.84509586535789,5.37780054594373,1.46729531941416
"Smp_005260.1",7.11846053373739,6.84666402170761,0.271796512029781
"Smp_005260.2",4.68212036158521,3.78345100520214,0.898669356383064
"Smp_005280.1",3.49110423946292,2.65571689109556,0.835387348367363
"Smp_005290.1",8.17011127240457,6.44017228856547,1.7299389838391
"Smp_005320.1",3.66606847810986,2.66028408403725,1.00578439407261
"Smp_005330.1",4.39414717936292,4.28537796964337,0.108769209719556
"Smp_005390.1",3.94090125709905,3.75354792537608,0.187353331722966
"Smp_005470.1",1.34822391943984,1.74426135418302,-0.396037434743181
"Smp_005500.1",1.98536234758075,1.34692094271161,0.638441404869132
"Smp_005520.1",7.20954441825814,7.56045055648211,-0.350906138223968
"Smp_005640.1",1.78061876496022,1.09602575149557,0.684593013464653
"Smp_005670.1",7.00327877454699,6.02288349550849,0.9803952790385
"Smp_005720.1",4.85744645222072,3.55875655209933,1.29868990012138
"Smp_005780.1",3.88594211688142,3.35581863494011,0.530123481941315
"Smp_005790.1",3.95668555638146,1.92100079211438,2.03568476426707
"Smp_005880.1",7.44595286805591,5.58387106789103,1.86208180016487
"Smp_005900.1",4.29235189456628,3.47942778529044,0.812924109275839
"Smp_005910.1",5.83434642608943,5.30707827413808,0.527268151951354
"Smp_005960.1",3.30569537615962,2.63079656639881,0.674898809760814
"Smp_006000.1",5.72122206553713,5.25573279104489,0.465489274492247
"Smp_006060.1",6.10163263894217,4.02325651310666,2.07837612583551
"Smp_006190.1",5.24318849605502,4.67892775691903,0.56426073913599
"Smp_006195.1",3.11292410836141,0.747981801939761,2.36494230642165
"Smp_006250.1",4.78340044368718,4.17167339767417,0.611727046013005
"Smp_006320.1",7.08889369865184,6.05181296861006,1.03708073004178
"Smp_006320.2",5.23621281556177,5.87628401744878,-0.640071201887006
"Smp_006340.1",5.26189283512476,5.62858989728969,-0.366697062164929
"Smp_006350.1",4.9336928263689,4.63348684567247,0.30020598069643
"Smp_006390.1",10.112723619352,9.26050855811837,0.852215061233633
"Smp_006440.1",5.1625705441588,3.82322852034051,1.3393420238183
"Smp_006550.1",7.69915197524152,8.07475519548087,-0.375603220239348
"Smp_006560.1",10.749232667128,9.31327067556518,1.43596199156278
"Smp_006590.1",4.11711061619957,3.73699853461698,0.380112081582584
"Smp_006630.1",4.65095252222494,4.62833027005545,0.0226222521694881
"Smp_006680.1",4.49112008518438,3.75003523239266,0.74108485279172
"Smp_006690.1",4.93316757876038,5.05603990486076,-0.122872326100388
"Smp_006700.1",3.95844738759853,3.68882790275859,0.269619484839939
"Smp_006710.1",3.20245470926286,2.76521718887556,0.437237520387304
"Smp_006720.1",2.50134308968213,2.03918663288955,0.462156456792572
"Smp_006730.1",7.14468835049267,4.71945518866626,2.42523316182641
"Smp_006750.1",4.46752501773928,4.50757912679987,-0.0400541090605877
"Smp_006760.1",0.879163085441181,0.929828038548121,-0.0506649531069404
"Smp_006780.1",3.53582603104498,2.29839940316949,1.23742662787549
"Smp_006810.1",4.6517568172688,3.53299761937513,1.11875919789367
"Smp_006830.1",6.51365929229729,6.424326168152,0.0893331241452975
"Smp_006840.1",5.05620550835099,4.18096744972982,0.875238058621174
"Smp_006850.1",7.58629385442603,6.68481366736311,0.901480187062923
"Smp_006860.1",9.27999864748038,7.9656396458686,1.31435900161177
"Smp_006920.1",3.27129941981149,2.46472427529394,0.806575144517549
"Smp_006930.1",3.76468489723522,3.07457234202523,0.69011255520999
"Smp_007000.1",1.00500108042026,0.789342511665719,0.215658568754542
"Smp_007070.1",2.60854385698342,1.53851560968922,1.07002824729421
"Smp_007170.1",5.25386586062245,4.57216914646416,0.681696714158281
"Smp_007180.1",4.58129526180126,4.4283659064733,0.152929355327965
"Smp_007180.2",2.53604170687319,1.0437512159266,1.49229049094659
"Smp_007190.1",3.77791401361684,3.16694300207532,0.610971011541518
"Smp_007210.1",3.18539370776724,2.07680792252352,1.10858578524372
"Smp_007260.1",6.29809204927482,5.37424026614019,0.923851783134632
"Smp_007270.1",8.16113822326858,6.87067695811215,1.29046126515643
