gene,degree,weighted_degree,mean_log_expression,variance_log_expression,hub_status
Smp_331370.1,5,4.928226729998862,3.6911756677947043,6.831371133817124,non_hub
Smp_131390.1,5,4.927535069611893,2.285418495645005,1.1573478490668057,non_hub
Smp_331590.1,5,4.926185266371261,1.4073764227246846,1.0403209297926816,non_hub
Smp_170770.1,5,4.926022624843664,1.2374533815056639,1.0408214374914693,non_hub
Smp_012350.1,5,4.925839965071853,1.5642269384392768,1.1089695298377824,non_hub
Smp_337670.1,5,4.923871446024995,4.11728748524554,0.7864568288322928,non_hub
Smp_055090.3,5,4.923706052880799,1.4584821776884966,1.2176139002418898,non_hub
Smp_322700.1,5,4.923455068068971,3.241844614252172,4.794368740171649,non_hub
Smp_192010.1,5,4.923017165143069,0.7195419280426006,1.0744448435670728,non_hub
Smp_051000.2,5,4.920899335787754,1.9610181233405188,1.712999526058657,non_hub
Smp_320200.1,5,4.920442500685967,1.978412082748108,1.7647380271527056,non_hub
Smp_020450.2,5,4.91817203585761,2.530642334620782,2.8520693441658964,non_hub
Smp_046060.2,5,4.91674173107327,3.433590134821926,0.7915133866920531,non_hub
Smp_341200.2,5,4.916692045596424,2.219415759943121,1.183640891253307,non_hub
Smp_149380.2,5,4.912969837363735,1.426396834403835,0.9693012604950978,non_hub
Smp_345290.1,5,4.90789700033656,1.9024200976963983,1.7207889171468962,non_hub
Smp_010550.2,5,4.907505796008947,1.7949953797108276,5.673849275784375,non_hub
Smp_063530.2,5,4.9072731965905385,1.3956345001490988,0.9254551906302203,non_hub
Smp_327460.1,5,4.906951330087768,0.7700213655117396,0.8382104428249072,non_hub
Smp_062020.1,5,4.906109602716092,1.479685815059465,1.026728686843284,non_hub
Smp_320400.1,5,4.9054957968083155,1.5605287290254428,1.1336540350731448,non_hub
Smp_247580.1,5,4.902228963698771,2.0812671280634287,3.323553566475528,non_hub
Smp_307630.1,5,4.902045558183108,1.2081402398609582,2.3103484979712765,non_hub
Smp_019840.1,5,4.901983854645462,3.2231294385102283,1.396315703623044,non_hub
Smp_041500.2,5,4.899240782475426,4.424188576886111,0.9098294533142041,non_hub
Smp_146150.1,5,4.89113306732059,1.4016436914182215,1.009630678679429,non_hub
Smp_305460.1,5,4.886465420334368,1.7297144062711058,1.695916890408929,non_hub
Smp_181180.2,5,4.8848929199639075,1.3881452576709015,0.9228401754752813,non_hub
Smp_048050.2,4,3.977972966257089,4.249641857086605,0.882922223888415,non_hub
Smp_168080.2,4,3.9764872236354516,1.296091970911478,1.0197314625855547,non_hub
Smp_181180.1,4,3.971516215760545,1.3423253601836864,0.855005570553066,non_hub
Smp_105180.2,4,3.9683315011370817,1.8910116526136642,1.5974316608386234,non_hub
Smp_331170.2,4,3.9659496405334607,1.4661828703806288,0.9776086264600666,non_hub
Smp_312610.1,4,3.963366227913639,1.6855535868748794,1.2955679251913763,non_hub
Smp_302270.1,4,3.9618422988412325,4.825060156081327,0.9296788922646332,non_hub
Smp_130520.3,4,3.9593734627168593,1.0830730562517885,1.5649734465753793,non_hub
Smp_058050.1,4,3.957657269939843,2.4277448673056354,0.7313660191318455,non_hub
Smp_302040.3,4,3.9560740987922722,1.862349241097133,1.5938026296797823,non_hub
Smp_007630.2,4,3.9552419812939825,4.458716659756698,0.8886756887120563,non_hub
Smp_332910.2,4,3.952941733413732,1.7910753317288926,1.6271881160849748,non_hub
Smp_165350.1,4,3.9527310818866166,1.6297455017878502,1.3323788908968617,non_hub
Smp_332780.1,4,3.9525210606007732,1.8962076687015046,1.800709887299889,non_hub
Smp_130520.1,4,3.9518356885837163,2.521567599629824,0.9314042953419891,non_hub
Smp_125250.1,4,3.948396122606705,1.5136852206745322,1.2049525833514598,non_hub
Smp_040710.2,4,3.948258770292501,1.0430013526681843,1.0135328838189284,non_hub
Smp_318200.2,4,3.9476771959809787,0.8890157929025599,1.064626509064813,non_hub
Smp_349480.1,4,3.9461575139048466,1.9611345179895747,1.0721504301717788,non_hub
Smp_346930.2,4,3.9452936051658454,2.6610592905776347,1.3734386610285014,non_hub
Smp_246050.3,4,3.9446358800475805,1.1685174432337038,0.9772260461672261,non_hub
Smp_194370.1,4,3.944308985598291,1.3912845400890559,1.008284374098478,non_hub
Smp_345970.1,4,3.943847901107168,1.9824735353913474,0.7452564060451858,non_hub
Smp_244860.1,4,3.943784455435731,1.5125559021716615,0.8025176710546716,non_hub
Smp_200770.1,4,3.943489148409946,1.8167488668679188,4.458196918989044,non_hub
Smp_210520.2,4,3.9415828327435305,1.512737248533854,1.1063180075612935,non_hub
Smp_348840.2,4,3.9413687037426266,2.362651557493697,2.5493656687556356,non_hub
Smp_093430.1,4,3.940783881665564,1.8708525687368578,1.5708599897396371,non_hub
Smp_023940.2,4,3.9404128584855735,2.143305792470051,2.0425821382552054,non_hub
Smp_212300.2,4,3.9379576138219763,0.7866563750340769,0.8799764664849317,non_hub
Smp_182600.1,4,3.937217255024444,1.952473232834408,5.405524285725917,non_hub
Smp_047870.2,4,3.935674096722163,1.5591379851352491,2.0372528902376934,non_hub
Smp_211020.1,4,3.9349066990806305,0.7999754200067484,0.8838754656449281,non_hub
Smp_088420.1,4,3.9316058678189547,3.2348830304459844,1.0504426288302318,non_hub
Smp_214020.2,4,3.9309922720886568,0.7454625830444561,0.7767260645906949,non_hub
Smp_319120.2,4,3.9298423465691985,1.3709435681070303,2.5439211477667296,non_hub
Smp_133590.2,4,3.929668589022466,1.5597654666890137,2.2171805246902507,non_hub
Smp_029210.2,4,3.929625937539228,1.2371829809469344,0.7214225319292861,non_hub
Smp_349140.1,4,3.9268764396189324,3.434206647928712,1.2309659827103652,non_hub
Smp_152290.1,4,3.9265807442005984,1.3353095584916448,0.7952592633603442,non_hub
Smp_200130.1,4,3.9259105149949702,3.6242260207307035,1.7221327843592584,non_hub
Smp_061250.2,4,3.922224577411019,1.2174862794125016,0.7247837164134864,non_hub
Smp_167630.2,4,3.9214688237348874,1.3351118379397466,0.9115918246143117,non_hub
Smp_005190.3,4,3.920626965496952,1.5143762533266847,1.1085623114914658,non_hub
Smp_326490.1,4,3.918979325411595,2.8201354161660275,1.1495273357999347,non_hub
Smp_246050.2,4,3.916861346707533,1.6764233860508,1.4515275925892752,non_hub
Smp_170910.1,4,3.9138892205638087,1.0352114845163811,1.7209319789144348,non_hub
Smp_141290.1,4,3.900748954604742,0.6730060822018242,0.706331948739603,non_hub
Smp_051000.1,4,3.9000923761701904,1.2464697657334831,2.417278852306414,non_hub
Smp_323230.1,4,3.891693873950057,2.4432424420291152,8.418126881348664,non_hub
Smp_323280.1,3,2.9914514586710763,2.186579687203941,2.2083400010863126,non_hub
Smp_340430.1,3,2.9854228066871067,2.943146983105005,3.8974631304856477,non_hub
Smp_000500.1,3,2.9845369557911634,4.23632168363265,1.3230595867065378,non_hub
Smp_317180.1,3,2.970742184534454,1.597321845252189,3.401991784316595,non_hub
Smp_150080.2,3,2.9707410362445663,1.8757120914057457,1.6023193870640744,non_hub
Smp_137840.2,3,2.9684934715672977,2.123186259083803,0.8714236795250937,non_hub
Smp_340840.1,3,2.967453395162081,1.090485450909788,1.5890964667779677,non_hub
Smp_010550.1,3,2.96613527905842,0.7943137229539412,0.9421751066262342,non_hub
Smp_141010.3,3,2.963195741780683,1.2680231844856333,0.7421717785103983,non_hub
Smp_346380.2,3,2.9628154108597218,2.518613096978831,1.3422014272361764,non_hub
Smp_004690.2,3,2.962055367863976,4.988610451751297,0.9164137248987236,non_hub
Smp_127680.1,3,2.9617572911276824,1.426052606062123,0.772577565639058,non_hub
Smp_127870.1,3,2.9606811727270927,1.194362711339164,0.8029350494179024,non_hub
Smp_200710.1,3,2.9598287382339588,1.9170801131154134,4.9365743628276215,non_hub
Smp_308755.1,3,2.9595346281089485,2.0637178192783283,5.721792461732427,non_hub
Smp_326650.1,3,2.9594735841380286,3.001926237339755,4.799645802750767,non_hub
Smp_071590.1,3,2.959331187116509,2.992176643170532,0.776061976535797,non_hub
Smp_323240.1,3,2.957739315523263,2.9686999934525193,1.2400563875157595,non_hub
Smp_244890.1,3,2.956552638074707,1.2363674843826464,0.8449396503595207,non_hub
Smp_244440.1,3,2.9546894495309206,0.9723413507850138,0.6932076622650207,non_hub
Smp_163600.1,3,2.9543644614750275,1.020261516712687,1.430447146776676,non_hub
Smp_322700.2,3,2.951916547642038,3.089235441637876,4.641928899072716,non_hub
Smp_169220.1,3,2.945159763651856,1.7454793617265152,0.7207739629457834,non_hub
