"__glayCluster","degree","hub_status","mean_log_expression","name","selected","shared name","variance_log_expression","weighted_degree"
"5","6","non_hub","3.83786800689414","Smp_134410.1","false","Smp_134410.1","6.592200215093551","5.935520358496548"
"5","28","hub","2.267657350028229","Smp_017710.1","false","Smp_017710.1","1.6791758883744086","27.618825593062176"
"6","26","hub","0.8828747632236191","Smp_060620.1","false","Smp_060620.1","1.5550939993732475","25.628526291963503"
"5","28","hub","2.038421776349284","Smp_302310.2","false","Smp_302310.2","0.8404553233455235","27.67987856436857"
"5","25","hub","0.4904564920166311","Smp_347540.2","false","Smp_347540.2","0.7197940299901896","24.67645845557082"
"7","8","non_hub","2.036458694357409","Smp_084180.1","false","Smp_084180.1","5.7536074082622575","7.826678792511607"
"7","3","non_hub","2.0637178192783283","Smp_308755.1","false","Smp_308755.1","5.721792461732427","2.9595346281089485"
"7","3","non_hub","1.9170801131154134","Smp_200710.1","false","Smp_200710.1","4.9365743628276215","2.9598287382339588"
"7","3","non_hub","1.597321845252189","Smp_317180.1","false","Smp_317180.1","3.401991784316595","2.970742184534454"
"7","4","non_hub","1.3709435681070303","Smp_319120.2","false","Smp_319120.2","2.5439211477667296","3.9298423465691985"
"5","4","non_hub","1.5597654666890137","Smp_133590.2","false","Smp_133590.2","2.2171805246902507","3.929668589022466"
"7","3","non_hub","1.090485450909788","Smp_340840.1","false","Smp_340840.1","1.5890964667779677","2.967453395162081"
"7","3","non_hub","2.992176643170532","Smp_071590.1","false","Smp_071590.1","0.776061976535797","2.959331187116509"
"5","3","non_hub","1.0006873791011657","Smp_173380.1","false","Smp_173380.1","0.7634783048294954","2.93790353992666"
"7","9","non_hub","0.8338502132757453","Smp_316910.1","false","Smp_316910.1","0.9284969914440505","8.927467387941213"
"7","8","non_hub","0.7641686072398407","Smp_140260.1","false","Smp_140260.1","0.7924825226657785","7.893718963620921"
"11","5","non_hub","1.7949953797108276","Smp_010550.2","false","Smp_010550.2","5.673849275784375","4.907505796008947"
"1","7","non_hub","2.4580412555557754","Smp_303350.1","false","Smp_303350.1","2.9532668253746386","6.871259084473074"
"11","10","non_hub","2.2883172111095367","Smp_173320.2","false","Smp_173320.2","2.7855267437285565","9.815724282618076"
"11","11","non_hub","1.4106011957287217","Smp_331440.1","false","Smp_331440.1","1.1991574237666285","10.863088416591863"
"11","10","non_hub","1.1943199060598975","Smp_054620.3","false","Smp_054620.3","0.8105832454615491","9.811970568415589"
