source,target,correlation,abs_correlation,relation,interaction,edge_width,edge_sign
Smp_088420.1,Smp_347950.1,0.9865941697409772,0.9865941697409772,positive,positive,0.9865941697409772,positive
Smp_201340.1,Smp_332600.2,-0.9717625936530492,0.9717625936530492,negative,negative,0.9717625936530492,negative
Smp_201340.1,Smp_040710.2,0.9809532258792034,0.9809532258792034,positive,positive,0.9809532258792034,positive
Smp_201340.1,Smp_054620.3,-0.9699938143400348,0.9699938143400348,negative,negative,0.9699938143400348,negative
Smp_201340.1,Smp_020450.1,0.9654332960123284,0.9654332960123284,positive,positive,0.9654332960123284,positive
Smp_201340.1,Smp_058140.3,-0.9639334366152674,0.9639334366152674,negative,negative,0.9639334366152674,negative
Smp_201340.1,Smp_346960.1,0.9535294126979422,0.9535294126979422,positive,positive,0.9535294126979422,positive
Smp_201340.1,Smp_058050.1,0.9911045100118,0.9911045100118,positive,positive,0.9911045100118,positive
Smp_201340.1,Smp_061250.2,0.975021567146674,0.975021567146674,positive,positive,0.975021567146674,positive
Smp_201340.1,Smp_141290.1,0.9998882130848192,0.9998882130848192,positive,positive,0.9998882130848192,positive
Smp_201340.1,Smp_243760.1,0.9531084163728774,0.9531084163728774,positive,positive,0.9531084163728774,positive
Smp_201340.1,Smp_335180.1,-0.9529552649573828,0.9529552649573828,negative,negative,0.9529552649573828,negative
Smp_201340.1,Smp_186780.2,-0.9895031525055,0.9895031525055,negative,negative,0.9895031525055,negative
Smp_201340.1,Smp_341970.1,-0.988551707315598,0.988551707315598,negative,negative,0.988551707315598,negative
Smp_201340.1,Smp_349470.1,0.9993872814633482,0.9993872814633482,positive,positive,0.9993872814633482,positive
Smp_201340.1,Smp_127500.1,0.953175638154393,0.953175638154393,positive,positive,0.953175638154393,positive
Smp_201340.1,Smp_349740.1,0.9664285197964548,0.9664285197964548,positive,positive,0.9664285197964548,positive
Smp_201340.1,Smp_147350.1,-0.9891067768652428,0.9891067768652428,negative,negative,0.9891067768652428,negative
Smp_201340.1,Smp_134470.1,-0.9985092154941896,0.9985092154941896,negative,negative,0.9985092154941896,negative
Smp_201340.1,Smp_000180.1,0.963967119768478,0.963967119768478,positive,positive,0.963967119768478,positive
Smp_170770.1,Smp_331590.1,0.9697931021405108,0.9697931021405108,positive,positive,0.9697931021405108,positive
Smp_170770.1,Smp_168080.2,0.9850801304237012,0.9850801304237012,positive,positive,0.9850801304237012,positive
Smp_170770.1,Smp_179970.1,-0.9646769031692498,0.9646769031692498,negative,negative,0.9646769031692498,negative
Smp_170770.1,Smp_344420.1,0.9758155880949094,0.9758155880949094,positive,positive,0.9758155880949094,positive
Smp_170770.1,Smp_154900.1,-0.9739804343331994,0.9739804343331994,negative,negative,0.9739804343331994,negative
Smp_170770.1,Smp_203090.1,-0.9775397073529294,0.9775397073529294,negative,negative,0.9775397073529294,negative
