gene,degree,weighted_degree,betweenness,pagerank,mean_log_expression,variance_log_expression,hub_status,degree_rank,weighted_degree_rank,media_simpatrica,media_alopatrica,delta_alopatrica_menos_simpatrica,delta_pareado_geracao_2,delta_pareado_geracao_3,delta_pareado_medio,abs_delta_pareado_medio,direcao_condicao,rotulo
Smp_093430.1,32,31.386992054789403,0.0011866320759174,0.0022551716179136,1.8708525687368576,1.5708599897396371,non_hub,190,191,2.4223598146034244,1.3193453228702912,-1.1030144917331333,-2.5077847473987833,0.3017557639325168,-1.1030144917331333,1.1030144917331333,maior_simpatrica_forte,Smp_093430.1
Smp_058050.1,32,31.38095808985045,0.0025904679318835,0.002017139852172,2.4277448673056354,0.7313660191318455,non_hub,190,192,1.7429578356496465,3.112531898961625,1.3695740633119784,1.8826753266486602,0.8564727999752964,1.3695740633119784,1.3695740633119784,maior_alopatrica_forte,Smp_058050.1
Smp_134470.1,32,31.35860780353181,0.0033344693494813,0.0020709499434197,2.9178450749452445,0.5021486685598561,non_hub,190,193,3.483599542903227,2.3520906069872614,-1.1315089359159658,-1.5092258323190317,-0.7537920395128999,-1.1315089359159658,1.1315089359159658,maior_simpatrica_forte,Smp_134470.1
Smp_170910.1,32,31.301825734192587,0.0044841528976332,0.0021010464790694,1.0352114845163811,1.7209319789144348,non_hub,190,194,0.0,2.0704229690327622,2.0704229690327622,2.732293298494986,1.408552639570539,2.0704229690327622,2.0704229690327622,maior_alopatrica_forte,Smp_170910.1
Smp_010550.2,32,31.300918403672945,0.0044296442463857,0.0021006480924816,1.7949953797108276,5.673849275784375,non_hub,190,195,0.0,3.589990759421655,3.589990759421655,5.027612784611213,2.1523687342320974,3.589990759421655,3.589990759421655,maior_alopatrica_forte,Smp_010550.2
Smp_167630.1,32,31.286509986009648,0.003836419876046,0.0017981818561484,0.890498861373006,0.4561121301304331,non_hub,190,196,0.6054680808825045,1.1755296418635075,0.570061560981003,1.5693462318823357,-0.42922310992032964,0.570061560981003,0.570061560981003,maior_alopatrica_moderada,
Smp_141290.1,32,31.283965164041625,0.0046361897187629,0.0021074384335265,0.6730060822018242,0.706331948739603,non_hub,190,197,0.0,1.3460121644036485,1.3460121644036485,1.7379605662987287,0.9540637625085681,1.3460121644036485,1.3460121644036485,maior_alopatrica_forte,Smp_141290.1
Smp_150080.2,32,31.265391176773228,0.003283469715983,0.0022858339376417,1.8757120914057457,1.6023193870640744,non_hub,190,198,2.3783014489340912,1.3731227338774,-1.0051787150566913,-2.4915309225867417,0.4811734924733595,-1.005178715056691,1.005178715056691,maior_simpatrica_forte,Smp_150080.2
Smp_198170.1,32,31.24908812232036,0.005723905088849,0.0022261888981286,0.6866389906269325,0.4715842640276063,non_hub,190,199,0.8364991241031768,0.5367788571506881,-0.29972026695248877,-1.4483232290110948,0.8488826951061172,-0.29972026695248877,0.29972026695248877,sem_diferenca_relevante,
Smp_327395.1,32,31.24278796958191,0.0047105594338055,0.0016760493123651,0.6075035064547178,0.5774856253708379,non_hub,190,200,1.2150070129094357,0.0,-1.2150070129094357,-1.5729279781331873,-0.8570860476856843,-1.2150070129094357,1.2150070129094357,maior_simpatrica_forte,Smp_327395.1
