"__glayCluster","degree","hub_status","mean_log_expression","name","selected","shared name","variance_log_expression","weighted_degree"
"10","4","non_hub","1.3320907257998094","Smp_129410.1","false","Smp_129410.1","0.8399148330688444","3.913033851091442"
"10","2","non_hub","3.434206647928712","Smp_349140.1","false","Smp_349140.1","1.2309659827103652","1.9528323122526303"
"12","3","non_hub","2.9686999934525193","Smp_323240.1","false","Smp_323240.1","1.2400563875157595","2.978446568506321"
"12","4","non_hub","4.23632168363265","Smp_000500.1","false","Smp_000500.1","1.3230595867065378","3.932522333264228"
"13","1","non_hub","0.9699298010466918","Smp_051670.1","false","Smp_051670.1","0.8935241592044928","0.998716877746149"
"13","1","non_hub","2.518613096978831","Smp_346380.2","false","Smp_346380.2","1.3422014272361764","0.998716877746149"
"14","3","non_hub","0.802471844530189","Smp_343390.1","false","Smp_343390.1","1.0073053886144907","2.9517660434344952"
"14","3","non_hub","0.9491800051909515","Smp_091190.2","false","Smp_091190.2","1.3862753587887522","2.9570152793490045"
"15","4","non_hub","1.2374533815056639","Smp_170770.1","false","Smp_170770.1","1.0408214374914693","3.95769053174864"
"15","5","non_hub","2.285418495645005","Smp_131390.1","false","Smp_131390.1","1.1573478490668057","4.93080261485749"
"15","4","non_hub","3.2231294385102283","Smp_019840.1","false","Smp_019840.1","1.396315703623044","3.9652172134441415"
"7","3","non_hub","4.048848469208856","Smp_018240.2","false","Smp_018240.2","0.7113866741288254","2.9494719680801573"
"7","2","non_hub","8.406703711680583","Smp_068920.2","false","Smp_068920.2","1.152721835871749","1.985574245668302"
"7","3","non_hub","1.6488046245211363","Smp_048050.1","false","Smp_048050.1","1.4580829094817058","2.9349237855912236"
"7","2","non_hub","2.882236483402253","Smp_309740.1","false","Smp_309740.1","1.1425769762674316","1.968333331237286"
"15","7","non_hub","0.8954899638756133","Smp_344420.1","false","Smp_344420.1","0.8057832104139436","6.869539994104054"
"15","4","non_hub","1.020261516712687","Smp_163600.1","false","Smp_163600.1","1.430447146776676","3.9506926047327213"
"16","8","non_hub","2.159616789217699","Smp_314730.1","false","Smp_314730.1","0.7782496398476768","7.879334264764026"
"16","2","non_hub","2.3978309465593965","Smp_324700.1","false","Smp_324700.1","1.2709653660312854","1.94857736926727"
"16","10","non_hub","1.5331468800336059","Smp_310150.1","false","Smp_310150.1","1.5799740157600184","9.811088365941055"
"10","7","non_hub","3.872901243591243","Smp_340300.2","false","Smp_340300.2","0.7457801086254747","6.873301978538871"
"10","8","non_hub","3.3282112811919156","Smp_000790.1","false","Smp_000790.1","0.834356990384452","7.860085570032873"
"10","9","non_hub","1.2741724089196789","Smp_347490.1","false","Smp_347490.1","1.2073707209115145","8.839627269145215"
"10","8","non_hub","1.292986627990838","Smp_063530.1","false","Smp_063530.1","1.5967135235089858","7.850868572963536"
"12","2","non_hub","4.456603307586166","Smp_175240.1","false","Smp_175240.1","0.9708690290632515","1.9568478898362767"
"16","9","non_hub","1.329573512883449","Smp_001890.1","false","Smp_001890.1","1.1426267558320888","8.852031711217657"
"14","4","non_hub","1.827850117459881","Smp_086330.2","false","Smp_086330.2","0.6977314464696794","3.9162192479303064"
"10","7","non_hub","2.9639081295192655","Smp_328360.1","false","Smp_328360.1","0.7101058534619523","6.903228478511415"
"10","9","non_hub","1.1362429633033138","Smp_082410.1","false","Smp_082410.1","0.923066820000324","8.885711303757184"
"10","9","non_hub","2.1344931955961344","Smp_043500.2","false","Smp_043500.2","1.0161764417515895","8.891980409123592"
"10","9","non_hub","3.8380919383806438","Smp_019690.2","false","Smp_019690.2","1.0998488214958655","8.893281539694613"
"10","7","non_hub","2.2664126630851666","Smp_150000.1","false","Smp_150000.1","0.7081549867137146","6.893184378894737"
"10","2","non_hub","0.4904564920166311","Smp_347540.2","false","Smp_347540.2","0.7197940299901896","1.9849481729321985"
"10","4","non_hub","2.038421776349284","Smp_302310.2","false","Smp_302310.2","0.8404553233455235","3.963633212533127"
"10","3","non_hub","2.059921082965108","Smp_122790.2","false","Smp_122790.2","1.4722776704329477","2.9477758496188504"
"10","5","non_hub","0.8828747632236191","Smp_060620.1","false","Smp_060620.1","1.5550939993732475","4.9357710901551215"
"10","7","non_hub","1.236062621337813","Smp_318100.1","false","Smp_318100.1","1.6522497807829521","6.899764968013184"
"10","6","non_hub","2.267657350028229","Smp_017710.1","false","Smp_017710.1","1.6791758883744086","5.896305082192237"
"17","1","non_hub","0.4920882457650788","Smp_245600.2","false","Smp_245600.2","0.7531085605748866","0.9777669993243636"
"17","1","non_hub","0.9060917039888262","Smp_319970.1","false","Smp_319970.1","1.7159974942354193","0.9777669993243636"
"3","5","non_hub","1.426052606062123","Smp_127680.1","false","Smp_127680.1","0.772577565639058","4.929146297705205"
"18","2","non_hub","4.471180102995437","Smp_049230.1","false","Smp_049230.1","1.39684439764177","1.9635276338984549"
"10","6","non_hub","0.8035432419890725","Smp_028210.2","false","Smp_028210.2","0.7013598679472469","5.936263317591187"
"10","6","non_hub","3.037104176122709","Smp_328910.1","false","Smp_328910.1","0.7364648362762388","5.918821040710994"
"10","5","non_hub","3.1757641760845505","Smp_074390.1","false","Smp_074390.1","0.8017101075313513","4.9743217554490124"
"10","9","non_hub","0.7700213655117396","Smp_327460.1","false","Smp_327460.1","0.8382104428249072","8.855107583869207"
"10","4","non_hub","2.5778814887431967","Smp_133590.1","false","Smp_133590.1","1.2231409135901241","3.9286819010888197"
"10","5","non_hub","2.837948444743218","Smp_017470.1","false","Smp_017470.1","1.6988093639029038","4.964479308499946"
"10","6","non_hub","1.1727354816046223","Smp_164270.2","false","Smp_164270.2","1.8602375606634158","5.954537911176102"
"12","11","non_hub","11.17223836093696","Smp_335130.1","false","Smp_335130.1","1.8810557068154843","10.850941547029134"
"5","1","non_hub","3.113658091689964","Smp_179970.1","false","Smp_179970.1","0.8489172833557399","0.9701500662485247"
"5","2","non_hub","1.9611345179895747","Smp_349480.1","false","Smp_349480.1","1.0721504301717788","1.9726302885779543"
"5","2","non_hub","1.5591379851352491","Smp_047870.2","false","Smp_047870.2","2.0372528902376934","1.9697347087711372"
"8","4","non_hub","0.7999754200067484","Smp_211020.1","false","Smp_211020.1","0.8838754656449281","3.9684808418924034"
"8","4","non_hub","0.8370911428943302","Smp_170770.2","false","Smp_170770.2","0.9371279004314724","3.948399304517087"
"8","4","non_hub","0.9920962010014255","Smp_335370.1","false","Smp_335370.1","1.0591475171574878","3.961147565242787"
"8","3","non_hub","1.2475145948499935","Smp_196880.2","false","Smp_196880.2","2.0783630581912393","2.9736728942822124"
"18","2","non_hub","1.8465795754158592","Smp_175880.1","false","Smp_175880.1","1.805503992520987","1.9496797409047661"
"18","1","non_hub","1.7437942380632432","Smp_213510.1","false","Smp_213510.1","2.098198389340714","0.9741588466811546"
"12","8","non_hub","6.295628912592206","Smp_165050.1","false","Smp_165050.1","1.253486224990097","7.86440046060062"
"12","4","non_hub","1.279860017445155","Smp_331290.1","false","Smp_331290.1","1.4810552532206547","3.9331795305125317"
"12","5","non_hub","5.873631623418167","Smp_323200.1","false","Smp_323200.1","1.602222312083813","4.916247581646923"
"12","11","non_hub","7.419099278269775","Smp_323190.1","false","Smp_323190.1","1.7247567838186317","10.853368395626795"
"12","11","non_hub","10.1624116599177","Smp_323300.1","false","Smp_323300.1","1.8395831565028828","10.862757892312473"
"12","9","non_hub","8.053314857784114","Smp_323290.1","false","Smp_323290.1","2.1432387700922106","8.87491030556519"
"7","3","non_hub","2.4249838095970477","Smp_331380.1","false","Smp_331380.1","0.8412220316090323","2.9437125026969837"
"7","1","non_hub","1.6622734700746378","Smp_085830.1","false","Smp_085830.1","1.724491368810761","0.9922990886416028"
"7","2","non_hub","6.126212035313886","Smp_323250.1","false","Smp_323250.1","2.1618705924849007","1.971835484903651"
"3","2","non_hub","1.646525871104413","Smp_058140.3","false","Smp_058140.3","0.7896545292161975","1.953568316321682"
"12","5","non_hub","1.0006873791011657","Smp_173380.1","false","Smp_173380.1","0.7634783048294954","4.9261678729907405"
"15","2","non_hub","0.625338478650778","Smp_310980.1","false","Smp_310980.1","1.0796695612535836","1.986293293314973"
"15","2","non_hub","0.9385116130826122","Smp_023940.1","false","Smp_023940.1","2.2591167161700967","1.991560813430543"
"3","4","non_hub","2.528702155684285","Smp_347590.1","false","Smp_347590.1","0.9952906614317542","3.917041840905569"
"3","1","non_hub","2.0219271797701612","Smp_200850.1","false","Smp_200850.1","2.268016121719525","0.9873137528935229"
"18","2","non_hub","3.6322045392379065","Smp_046060.1","false","Smp_046060.1","1.477677994467787","1.9513206743144766"
"7","3","non_hub","4.11728748524554","Smp_337670.1","false","Smp_337670.1","0.7864568288322928","2.957225543054814"
"12","11","non_hub","10.789647742658456","Smp_335135.1","false","Smp_335135.1","2.0040488882440184","10.85391374065475"
"15","6","non_hub","1.6809186413805541","Smp_140200.2","false","Smp_140200.2","0.7742532297942563","5.92112586550782"
"15","5","non_hub","0.9879767623645328","Smp_201530.1","false","Smp_201530.1","1.4665726308351683","4.947173921624362"
"15","4","non_hub","1.1168966755010146","Smp_332840.1","false","Smp_332840.1","1.549904623651375","3.972877925132562"
"15","4","non_hub","0.9918356021851878","Smp_167840.1","false","Smp_167840.1","1.7114931528713333","3.937583630390864"
"15","4","non_hub","1.5901007538720222","Smp_212190.2","false","Smp_212190.2","2.6326794370220763","3.946590456087199"
"3","3","non_hub","1.4106011957287217","Smp_331440.1","false","Smp_331440.1","1.1991574237666285","2.974226248237298"
"10","3","non_hub","0.9264215728151068","Smp_032670.1","false","Smp_032670.1","1.0236258168139434","2.9628886879179546"
"10","5","non_hub","1.1514008822226718","Smp_327370.1","false","Smp_327370.1","1.6431234655380222","4.913535538939992"
"10","2","non_hub","1.7320870401460629","Smp_326770.2","false","Smp_326770.2","2.7918098246903313","1.9691235293558704"
"3","11","non_hub","1.2680231844856333","Smp_141010.3","false","Smp_141010.3","0.7421717785103983","10.833040495662893"
"3","10","non_hub","1.3353095584916448","Smp_152290.1","false","Smp_152290.1","0.7952592633603442","9.89688009334919"
"3","11","non_hub","1.8708525687368578","Smp_093430.1","false","Smp_093430.1","1.5708599897396371","10.89158045849424"
"3","12","non_hub","1.8757120914057457","Smp_150080.2","false","Smp_150080.2","1.6023193870640744","11.839365035615973"
"3","9","non_hub","1.92961280957849","Smp_097940.1","false","Smp_097940.1","1.7006491670651187","8.83072751003694"
"3","12","non_hub","1.9610181233405188","Smp_051000.2","false","Smp_051000.2","1.712999526058657","11.85124895160987"
