Name,SRR1140994,SRR1140995,SRR1142422,SRR1142423
Smp_007180.2,0.0,33.164,55.069,41.391
Smp_007190.1,87.0,278.0,163.0,238.0
Smp_007210.1,91.978,197.225,161.168,275.735
Smp_007260.1,697.0,2090.0,2105.0,2638.0
Smp_007270.1,589.076,1741.993,1720.269,2566.248
Smp_007290.1,91.0,289.0,242.0,329.0
Smp_007300.1,613.0,1927.0,1290.0,1595.0
Smp_007330.1,5.0,27.0,25.0,29.0
Smp_007380.1,322.066,1013.753,879.183,1060.801
Smp_007450.1,123.0,422.0,377.57,584.0
Smp_007450.2,0.0,0.0,5.43,0.0
Smp_007500.1,309.0,910.0,777.0,1276.0
Smp_007510.1,487.0,1515.0,1557.0,1982.0
Smp_007540.1,51.0,190.0,145.0,113.0
Smp_007550.1,23.0,114.0,73.0,112.0
Smp_007570.1,0.0,4.0,0.0,8.0
Smp_007630.1,100.11,391.822,234.532,494.075
Smp_007630.2,140.89,234.178,330.468,123.925
Smp_007650.1,466.0,1642.0,1266.0,2046.0
Smp_007660.1,174.073,453.409,493.19,600.496
Smp_007660.2,5.927,41.591,58.81,109.504
Smp_007670.1,49.0,60.0,55.0,87.0
Smp_007690.1,16.0,38.0,77.0,27.0
Smp_007710.1,241.0,1266.0,990.0,1909.0
Smp_007730.1,161.0,407.0,481.0,609.0
Smp_007760.1,4.0,34.0,20.0,31.0
Smp_007890.1,39.0,161.0,142.0,113.0
Smp_007900.1,577.0,2018.0,1104.0,1494.0
Smp_007960.1,156.526,413.989,530.863,608.59
Smp_007960.3,11.474,37.011,54.137,61.41
Smp_007970.1,208.0,658.0,514.0,587.0
Smp_008070.1,3145.0,11667.0,10337.0,16783.0
Smp_008120.1,45.0,147.0,131.0,166.0
Smp_008140.1,138.092,595.197,500.406,594.528
Smp_008220.1,37.0,51.0,128.0,112.0
Smp_008230.1,120.444,558.708,406.726,496.369
Smp_008260.1,349.0,1048.0,1232.0,1704.0
Smp_008290.1,105.0,339.0,458.0,591.0
Smp_008310.1,241.0,624.0,475.0,713.0
Smp_008320.1,363.0,1012.0,1191.0,1448.0
Smp_008360.1,218.977,894.0,719.138,871.742
Smp_008400.1,1.023,0.0,10.862,5.258
Smp_008430.1,209.0,697.066,479.166,609.16
Smp_008440.1,29.0,129.934,90.834,101.84
Smp_008450.1,0.0,4.0,4.0,8.0
Smp_008470.1,430.0,1334.0,1277.0,1875.0
Smp_008490.1,104.062,249.005,176.0,410.003
Smp_008500.1,233.0,700.0,644.0,932.0
Smp_008545.1,1029.0,3676.0,2636.0,3361.0
Smp_008580.1,46.0,152.0,148.0,167.0
Smp_008610.1,40.0,143.0,83.0,135.0
Smp_008620.1,29.0,50.0,50.0,134.635
Smp_008660.1,349.0,966.0,929.0,1116.0
Smp_008710.1,24.56,135.113,88.437,116.007
Smp_008770.1,138.0,601.0,494.0,637.0
Smp_008830.1,323.0,1134.0,1110.0,1357.0
Smp_008850.1,5.0,6.0,22.0,21.0
Smp_008900.1,2714.0,8114.0,7554.0,9835.0
Smp_009020.1,0.0,0.0,7.0,9.0
Smp_009030.1,90.0,256.0,296.0,319.0
Smp_009070.1,111.0,320.0,327.0,440.0
Smp_009150.1,227.0,702.0,704.0,841.0
Smp_009230.1,0.0,1.0,2.0,0.0
Smp_009250.1,633.0,1526.0,1755.0,2361.0
Smp_009310.1,4015.221,12223.993,9713.468,12522.993
Smp_009320.1,64.0,152.0,125.0,185.0
Smp_009340.1,42.0,183.0,162.0,226.0
Smp_009390.1,116.0,318.0,205.0,298.0
Smp_009400.1,497.0,1583.0,1390.0,1788.0
Smp_009420.1,70.0,233.863,130.331,248.651
Smp_009430.1,105.428,195.885,208.558,234.452
Smp_009520.1,211.0,566.0,669.0,874.0
Smp_009540.1,423.0,819.0,1071.0,2009.0
Smp_009550.1,84.0,272.0,250.0,356.0
Smp_009560.1,150.0,510.0,510.0,623.0
Smp_009600.1,32.0,114.0,69.0,121.571
Smp_009630.1,1.0,8.0,5.0,7.0
Smp_009650.1,1290.0,3597.0,2645.0,4268.0
Smp_009690.1,801.0,2826.0,1632.0,2294.0
Smp_009760.1,1318.771,4841.44,3322.823,4286.166
Smp_009800.1,76.0,163.0,157.0,268.0
Smp_009810.1,3.0,25.0,18.0,18.0
Smp_009830.1,68.0,115.0,79.0,112.0
Smp_009990.1,212.0,628.0,807.0,992.0
Smp_010090.1,248.0,967.0,751.0,1125.0
Smp_010100.1,97.0,202.0,296.032,380.0
Smp_010110.1,307.83,909.652,900.107,1111.42
Smp_010140.1,239.0,462.0,549.0,548.0
Smp_010160.1,207.014,599.833,379.697,567.155
Smp_010230.1,491.767,1605.107,1493.866,2024.314
Smp_010250.1,358.0,1101.0,918.0,1613.0
Smp_010260.1,135.0,421.0,408.0,508.0
Smp_010280.1,72.0,338.0,287.0,437.0
Smp_010290.1,339.0,1098.0,1051.0,1392.0
Smp_010370.1,1004.0,4711.0,3728.0,3345.0
Smp_010380.1,54.324,124.486,108.936,180.236
Smp_010400.1,38.0,96.0,108.0,98.0
Smp_010450.1,3.0,14.0,4.0,7.0
Smp_010450.2,0.0,0.0,0.0,0.0
Smp_010550.1,0.0,14.634,0.0,7.283
Smp_010550.2,0.0,0.0,144.296,24.668
Smp_010550.3,140.0,230.779,167.704,276.048
Smp_010550.4,0.0,50.588,0.0,0.0
Smp_010620.1,83.613,131.834,238.163,225.92
Smp_010620.2,60.444,197.256,146.153,360.047
Smp_010690.1,110.0,370.021,329.73,483.082
Smp_010710.1,290.0,885.0,823.0,1270.0
Smp_010720.1,0.0,0.0,1.0,0.0
Smp_010800.1,31.0,130.0,117.0,84.0
Smp_010820.1,201.0,658.0,486.0,709.0
Smp_010930.1,123.0,376.0,321.0,381.0
Smp_010940.1,1393.0,4474.0,3524.0,4777.0
Smp_011000.1,17.0,54.0,39.0,33.0
Smp_011010.1,82.0,292.0,284.0,476.0
